Observer;Tone complexity;Session;Practice or main experiment;Chord consonance;Chord shape index;Starting pitch;Probe correctness;Probe consonance;Probe index;Response yes/no;Response accuracy;Response time;Probe amplitude correction
JS;0;1;0;1;1;1;1;NaN;3;1;1;0.54033;NaN
JS;0;1;0;0;7;3;0;NaN;2;0;1;0.51411;NaN
JS;0;1;0;1;3;3;1;NaN;3;1;1;0.54188;NaN
JS;0;1;0;0;5;1;1;NaN;1;1;1;0.62218;NaN
JS;0;1;0;0;6;2;1;NaN;5;1;1;0.63073;NaN
JS;0;1;0;0;7;1;1;NaN;4;1;1;0.5627;NaN
JS;0;1;0;0;7;2;0;NaN;3;0;1;0.54879;NaN
JS;0;1;0;1;3;3;0;0;2;0;1;0.50691;NaN
JS;0;1;0;1;2;1;1;NaN;3;0;0;0.61414;NaN
JS;0;1;0;0;5;2;0;NaN;1;1;0;0.53161;NaN
JS;0;1;0;1;4;3;1;NaN;2;1;1;0.60629;NaN
JS;0;1;0;1;2;2;1;NaN;3;1;1;0.64547;NaN
JS;0;1;0;1;4;2;1;NaN;1;1;1;0.64463;NaN
JS;0;1;0;0;7;1;1;NaN;1;0;0;0.6301;NaN
JS;0;1;0;1;4;2;1;NaN;2;0;0;0.59067;NaN
JS;0;1;0;1;1;2;1;NaN;3;1;1;0.61818;NaN
JS;0;1;0;1;4;2;1;NaN;3;0;0;0.56507;NaN
JS;0;1;0;1;1;3;1;NaN;4;1;1;1.2038;NaN
JS;0;1;0;0;5;1;1;NaN;1;0;0;0.61455;NaN
JS;0;1;0;1;2;3;1;NaN;5;1;1;0.60607;NaN
JS;0;1;0;1;2;2;0;1;2;0;1;0.58666;NaN
JS;0;1;0;0;7;3;0;NaN;1;0;1;0.58203;NaN
JS;0;1;0;1;4;3;0;0;2;0;1;0.66163;NaN
JS;0;1;0;0;6;1;0;NaN;3;0;1;0.55779;NaN
JS;0;1;0;1;4;1;0;1;1;1;0;0.59625;NaN
JS;0;1;0;0;5;3;0;NaN;2;0;1;0.52293;NaN
JS;0;1;0;0;6;1;1;NaN;4;1;1;0.5562;NaN
JS;0;1;0;0;5;2;0;NaN;2;0;1;0.54914;NaN
JS;0;1;0;0;5;1;0;NaN;1;1;0;1.4936;NaN
JS;0;1;0;1;1;3;1;NaN;3;0;0;0.94047;NaN
JS;0;1;0;1;1;1;1;NaN;1;1;1;0.42423;NaN
JS;0;1;0;1;1;3;0;1;1;0;1;0.53502;NaN
JS;0;1;0;1;2;3;1;NaN;1;1;1;0.59038;NaN
JS;0;1;0;1;2;1;0;1;3;0;1;0.48442;NaN
JS;0;1;0;0;5;1;1;NaN;2;1;1;0.56322;NaN
JS;0;1;0;1;3;2;0;1;1;1;0;0.65018;NaN
JS;0;1;0;1;4;3;0;0;3;0;1;0.67386;NaN
JS;0;1;0;1;4;2;0;1;3;1;0;0.67754;NaN
JS;0;1;0;1;4;1;0;0;3;0;1;0.63621;NaN
JS;0;1;0;0;6;3;0;NaN;1;0;1;0.60547;NaN
JS;0;1;1;1;1;1;1;NaN;3;1;1;0.56363;NaN
JS;0;1;1;1;5;1;0;0;2;0;1;0.58111;NaN
JS;0;1;1;1;1;4;1;NaN;4;1;1;0.61062;NaN
JS;0;1;1;0;7;4;1;NaN;5;1;1;0.6127;NaN
JS;0;1;1;0;9;3;0;NaN;2;0;1;0.57228;NaN
JS;0;1;1;1;4;2;0;1;2;0;1;0.67821;NaN
JS;0;1;1;0;6;3;0;NaN;3;1;0;0.64515;NaN
JS;0;1;1;1;2;4;1;NaN;3;1;1;0.64706;NaN
JS;0;1;1;0;8;2;0;NaN;3;0;1;0.63823;NaN
JS;0;1;1;1;2;3;0;1;1;1;0;0.57298;NaN
JS;0;1;1;1;1;2;0;0;3;0;1;0.68183;NaN
JS;0;1;1;1;2;2;1;NaN;2;1;1;0.59803;NaN
JS;0;1;1;1;4;1;0;1;3;0;1;0.66905;NaN
JS;0;1;1;0;8;1;0;NaN;3;0;1;0.63786;NaN
JS;0;1;1;0;6;4;0;NaN;2;0;1;0.58843;NaN
JS;0;1;1;0;10;3;1;NaN;3;0;0;0.69289;NaN
JS;0;1;1;1;3;3;0;0;1;1;0;0.60461;NaN
JS;0;1;1;1;4;4;1;NaN;5;1;1;0.58265;NaN
JS;0;1;1;0;6;5;0;NaN;3;0;1;0.63064;NaN
JS;0;1;1;0;9;5;1;NaN;1;0;0;0.55424;NaN
JS;0;1;1;0;10;5;0;NaN;1;0;1;0.57378;NaN
JS;0;1;1;0;9;2;0;NaN;2;0;1;0.59721;NaN
JS;0;1;1;0;8;3;1;NaN;5;1;1;0.59074;NaN
JS;0;1;1;1;3;2;0;1;2;0;1;0.60478;NaN
JS;0;1;1;1;2;2;0;0;3;0;1;0.5824;NaN
JS;0;1;1;1;3;3;1;NaN;1;0;0;0.62791;NaN
JS;0;1;1;0;9;1;0;NaN;2;0;1;0.62037;NaN
JS;0;1;1;0;7;5;1;NaN;5;1;1;0.59702;NaN
JS;0;1;1;1;5;2;0;0;3;0;1;0.57152;NaN
JS;0;1;1;1;5;3;1;NaN;4;1;1;579;NaN
JS;0;1;1;0;8;2;0;NaN;1;0;1;0.6535;NaN
JS;0;1;1;0;6;4;0;NaN;2;0;1;0.61316;NaN
JS;0;1;1;0;10;1;1;NaN;1;0;0;0.58475;NaN
JS;0;1;1;0;7;4;0;NaN;3;1;0;0.59829;NaN
JS;0;1;1;1;5;1;1;NaN;4;0;0;0.70084;NaN
JS;0;1;1;1;1;1;0;1;1;1;0;0.61319;NaN
JS;0;1;1;0;9;4;1;NaN;4;1;1;0.65259;NaN
JS;0;1;1;0;8;5;1;NaN;2;1;1;0.66025;NaN
JS;0;1;1;1;3;3;1;NaN;3;1;1;0.62841;NaN
JS;0;1;1;0;10;2;0;NaN;3;0;1;581;NaN
JS;0;1;1;0;9;5;0;NaN;2;0;1;0.55692;NaN
JS;0;1;1;1;3;1;1;NaN;1;1;1;0.58989;NaN
JS;0;1;1;1;4;3;0;1;1;0;1;0.70243;NaN
JS;0;1;1;1;4;2;1;NaN;5;1;1;0.66265;NaN
JS;0;1;1;1;3;4;0;0;1;0;1;0.58829;NaN
JS;0;1;1;1;2;3;0;1;3;1;0;0.54949;NaN
JS;0;1;1;1;3;5;0;1;1;0;1;582;NaN
JS;0;1;1;0;6;3;1;NaN;4;1;1;0.58192;NaN
JS;0;1;1;1;4;4;1;NaN;4;0;0;0.59775;NaN
JS;0;1;1;1;3;4;0;0;1;0;1;0.61233;NaN
JS;0;1;1;1;1;2;0;1;3;1;0;0.61438;NaN
JS;0;1;1;0;8;1;1;NaN;1;0;0;0.59296;NaN
JS;0;1;1;0;9;5;1;NaN;2;0;0;0.59636;NaN
JS;0;1;1;0;6;3;1;NaN;3;0;0;0.56552;NaN
JS;0;1;1;1;4;5;0;1;3;1;0;0.83648;NaN
JS;0;1;1;1;2;4;0;0;2;0;1;0.5822;NaN
JS;0;1;1;1;3;5;0;0;2;0;1;0.56885;NaN
JS;0;1;1;0;6;5;0;NaN;1;0;1;0.53353;NaN
JS;0;1;1;0;6;5;1;NaN;1;1;1;0.59435;NaN
JS;0;1;1;1;1;4;1;NaN;3;1;1;0.64587;NaN
JS;0;1;1;0;8;1;1;NaN;3;1;1;629;NaN
JS;0;1;1;0;8;1;1;NaN;5;1;1;0.61909;NaN
JS;0;1;1;1;3;4;0;0;1;0;1;0.6137;NaN
JS;0;1;1;1;3;2;1;NaN;2;0;0;0.57331;NaN
JS;0;1;1;0;7;2;1;NaN;5;1;1;0.61275;NaN
JS;0;1;1;1;1;5;1;NaN;3;1;1;0.6124;NaN
JS;0;1;1;1;2;1;0;0;1;0;1;0.5719;NaN
JS;0;1;1;1;3;1;1;NaN;1;0;0;0.61937;NaN
JS;0;1;1;0;10;4;1;NaN;5;1;1;0.58194;NaN
JS;0;1;1;1;5;4;0;0;2;0;1;0.59795;NaN
JS;0;1;1;0;9;4;1;NaN;4;0;0;0.58846;NaN
JS;0;1;1;1;4;4;1;NaN;1;1;1;0.69345;NaN
JS;0;1;1;0;10;1;1;NaN;5;0;0;0.78125;NaN
JS;0;1;1;1;1;3;1;NaN;5;1;1;0.55773;NaN
JS;0;1;1;0;6;3;0;NaN;3;0;1;0.5827;NaN
JS;0;1;1;0;10;2;0;NaN;3;0;1;0.61225;NaN
JS;0;1;1;0;10;3;0;NaN;1;0;1;0.58265;NaN
JS;0;1;1;0;6;4;1;NaN;4;1;1;0.62818;NaN
JS;0;1;1;0;8;3;0;NaN;3;0;1;0.58875;NaN
JS;0;1;1;0;10;3;0;NaN;1;0;1;0.57324;NaN
JS;0;1;1;0;8;5;1;NaN;3;1;1;0.57378;NaN
JS;0;1;1;0;6;3;0;NaN;3;0;1;0.53896;NaN
JS;0;1;1;1;4;1;1;NaN;1;0;0;0.6212;NaN
JS;0;1;1;0;10;5;0;NaN;3;1;0;0.61888;NaN
JS;0;1;1;1;3;1;1;NaN;2;0;0;0.60551;NaN
JS;0;1;1;0;7;1;0;NaN;3;1;0;0.71708;NaN
JS;0;1;1;0;10;4;0;NaN;3;0;1;0.60636;NaN
JS;0;1;1;0;10;5;0;NaN;2;0;1;0.55735;NaN
JS;0;1;1;0;6;5;1;NaN;1;0;0;0.55835;NaN
JS;0;1;1;0;8;5;0;NaN;2;1;0;0.54876;NaN
JS;0;1;1;1;1;2;1;NaN;3;0;0;0.58674;NaN
JS;0;1;1;0;7;3;0;NaN;1;0;1;0.60574;NaN
JS;0;1;1;0;7;5;1;NaN;1;0;0;0.5488;NaN
JS;0;1;1;0;8;1;0;NaN;1;0;1;0.58918;NaN
JS;0;1;1;0;9;4;1;NaN;4;1;1;0.60571;NaN
JS;0;1;1;1;3;1;1;NaN;3;0;0;0.59429;NaN
JS;0;1;1;1;5;4;0;0;3;0;1;0.63526;NaN
JS;0;1;1;1;4;1;0;1;3;1;0;0.59629;NaN
JS;0;1;1;0;7;4;1;NaN;1;0;0;0.62942;NaN
JS;0;1;1;1;4;5;0;0;2;0;1;0.55806;NaN
JS;0;1;1;0;8;1;1;NaN;1;0;0;621;NaN
