Observer;Tone complexity;Session;Practice or main experiment;Chord consonance;Chord shape index;Starting pitch;Probe correctness;Probe consonance;Probe index;Response yes/no;Response accuracy;Response time
JS;0;1;0;1;1;1;0;1;3;1;0;0.52679
JS;0;1;0;1;1;1;0;0;2;0;1;0.59082
JS;0;1;0;0;4;3;1;NaN;3;1;1;0.49178
JS;0;1;0;0;3;2;1;NaN;3;1;1;0.58716
JS;0;1;0;1;1;1;0;1;3;1;0;0.56519
JS;0;1;0;0;4;3;1;NaN;4;1;1;0.57718
JS;0;1;0;0;3;2;1;NaN;1;0;0;0.64619
JS;0;1;0;1;2;1;0;1;3;0;1;0.56785
JS;0;1;0;0;4;3;1;NaN;5;1;1;0.48625
JS;0;1;0;0;3;3;1;NaN;3;0;0;0.53768
JS;0;1;0;1;2;2;0;1;3;1;0;0.61762
JS;0;1;0;0;3;2;0;NaN;6;0;1;0.57169
JS;0;1;0;1;2;2;0;0;1;0;1;0.55899
JS;0;1;0;0;3;1;0;NaN;1;0;1;0.55664
JS;0;1;0;0;4;3;0;NaN;6;1;0;0.56058
JS;0;1;0;0;3;2;1;NaN;2;0;0;0.57254
JS;0;1;0;1;2;1;1;NaN;4;1;1;0.59377
JS;0;1;0;0;3;1;0;NaN;1;0;1;0.63715
JS;0;1;0;0;4;2;1;NaN;1;0;0;0.61617
JS;0;1;0;1;1;3;1;NaN;2;0;0;0.54488
JS;0;1;0;0;4;2;0;NaN;3;1;0;0.51963
JS;0;1;0;1;2;2;1;NaN;1;0;0;0.57073
JS;0;1;0;1;1;1;0;1;1;1;0;0.5037
JS;0;1;0;1;2;2;1;NaN;2;1;1;0.58297
JS;0;1;0;0;3;3;0;NaN;1;0;1;0.63468
JS;0;1;0;0;3;2;1;NaN;1;1;1;0.57225
JS;0;1;0;1;2;2;0;0;3;0;1;0.54276
JS;0;1;0;0;4;1;1;NaN;4;1;1;0.51606
JS;0;1;0;0;4;3;0;NaN;2;0;1;0.54049
JS;0;1;0;1;1;2;0;1;1;1;0;0.56194
JS;0;1;0;0;3;3;0;NaN;4;1;0;0.57384
JS;0;1;0;0;3;3;1;NaN;1;0;0;0.62447
JS;0;1;0;0;3;1;1;NaN;5;1;1;0.48345
JS;0;1;0;1;2;2;0;1;1;0;1;0.53875
JS;0;1;0;0;3;1;1;NaN;1;1;1;0.60029
